Ticker,Last,Change %,Gap %,Relative Volume,Shares Float,Exponential Moving Average (200),Simple Moving Average (200),Pre-market Change %,Change from Open,Change from Open %,Change,Volume,Average Volume (30 day)
PRTH,8.74,8.571428,2.1118011,0.65940964,5406243,9.734594,9.95781,,0.52,6.326034,0.69,630,3901.6
KBSF,3.9283,2.0602753,2.0602753,0.2043736,927421,4.1279073,4.1523356,,0,0,0.0793,100,53231.133
CPHC,14.8984,2.0438356,2.0438356,0.8154397,2795650,15.056904,15.083293,,0,0,0.2984,100,2294.9333
MHH,6.3,2.0242915,2.0242915,0.20100503,2903378,6.255139,6.2525735,,0,0,0.125,100,18307.732
PIH,5.1,2,2,0.12048193,5155538,5.6718965,5.900036,,0,0,0.1,400,5730.6333
IDSA,1.57,1.9480519,1.9480519,0.2052124,4311896,1.7899531,1.83358,,0,0,0.03,100,8862.934
LEDS,3.7,1.9283746,1.9283746,0.5742474,849475,3.8260348,3.7939606,,0,0,0.07,454,80569.7
LEVB,3.81,1.8716577,1.8716577,0.12482836,6219673,3.850718,3.8207655,,0,0,0.07,258,116894.234
GTIM,4.39,1.8561485,1.8561485,0.33392698,11453592,3.9093955,3.8407135,,0,0,0.08,227,22049.334
HGSH,1.31,1.842494,1.842494,1.1094675,13570000,1.3078816,1.3216255,,0,0,0.0237,135,48143.9
ATLC,3.36,1.8181819,1.8181819,0.32237267,6447193,3.4348092,3.5049174,,0,0,0.06,100,7021.7
NRT,6.88,1.925926,1.7777778,0.16923337,9149721,6.8106494,6.7774005,,0.01,0.14556041,0.13,321,16905.066
HJLI,1.97,3.6842105,1.768421,0.20460778,5106145,1.9194703,1.911657,,0.0364,1.882499,0.07,373,33221.668
QUMU,2.3403,1.7521739,1.7521739,0.44189128,8898969,2.3826149,2.3958864,,0,0,0.0403,1846,16296.7
JSYN,10.63,1.722488,1.722488,0.12933265,2078769,10.599919,10.544817,,0,0,0.18,100,3709.2334
SYNC,1.78,1.7142857,1.7142857,0.047473468,36467264,1.6612908,1.6721275,,0,0,0.03,191,92066
DOTA,10.14,1.7051153,1.7051153,0.09513541,5750000,10.08469,10.092103,,0,0,0.17,300,42613.867
HSON,1.423,1.6428572,1.6428572,3.3898306,29907652,1.4721146,1.4755305,,0,0,0.023,500,16172.767
DVCR,3.8623,1.6394737,1.6394737,0.060222823,3068160,5.1677547,5.3428984,,0,0,0.0623,400,8475.634
CAW,2.38,1.6312238,1.6312238,1.3675214,5987219,2.578294,2.704748,,0,0,0.0382,400,2185.0334
MTSL,1.81,1.6282988,1.6282988,0.18079913,1596301,1.769381,1.7605284,,0,0,0.029,100,825446.44
DYNT,2.5,1.6260163,1.6260163,0.058510326,4867884,2.8222983,2.829232,,0,0,0.04,400,3076.9666
AMRK,11.99,1.6101695,1.6101695,0.3448276,3990345,12.729915,12.720607,,0,0,0.19,100,9862.767
EEI,10.78,1.5840707,1.5840707,0.23889154,2498958,11.973322,12.305762,,0,0,0.1681,100,2752
NEWA,8.65,1.6307924,1.5720463,0.49261084,6009000,8.430798,8.391333,,0.005,0.0578369,0.1388,2409,29059.232
STRO,10.24,1.6377171,1.5384616,2.2857144,16258375,10.610331,10.65862,,0.01,0.097751714,0.165,800,48329.9
TWMC,1.03,1.5378549,1.5378549,3.0187266,12890750,1.0727255,1.113916,,0,0,0.0156,1209,15039.7
NVIV,2,1.010101,1.5151515,3.5353534,9292389,1.9554045,1.9439315,,-0.01,-0.49751243,0.02,1050,267472.22
BSGM,4.02,1.5151515,1.5151515,0.032357223,10647009,3.957196,3.8609526,,0,0,0.06,100,48863.566
WVVI,7.3087,1.5097222,1.5097222,0.13260841,3723228,7.4082894,7.3762827,,0,0,0.1087,275,4130.5
SHSP,12.18,1.5,1.5,0.078610174,6278660,12.795182,12.911222,,0,0,0.18,100,31036.867
PPSI,5.2236,1.4291263,1.4291263,0.7449237,3330295,5.055646,4.9668465,,0,0,0.0736,620,3666.7666
ZKIN,1.7,1.4259292,1.4259292,0.5885815,4247512,1.9799414,2.0357125,,0,0,0.0239,100,21452.133
UUU,1.2611,1.3827478,1.3827478,0.16283993,1324438,1.2238225,1.2217865,,0,0,0.0172,200,287840.28
HEBT,1.1377,4.857143,1.3824885,0.17195056,7291177,1.2571248,1.279425,,0.0377,3.4272728,0.0527,1100,13555.866
KMDA,5.19,1.3671875,1.3671875,0.034553055,31879224,5.3526087,5.3691993,,0,0,0.07,1000,7587.9
PACQU,10.41,1.5609756,1.3658537,0.03640335,41400000,10.306749,10.295963,,0.02,0.19249278,0.16,500,43719.734
AIHS,4.48,1.3574661,1.3574661,0.13629548,8106650,4.451789,4.478028,,0,0,0.06,200,13059.533
